## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
10000	Anonymous	Brand - Unassigned	Brand - Unassigned	CreditRepair	Other	Other	Other	s	nan
10001	CJ Online (Affiliate)	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10002	Commission Junction (CJ) Pay Per Call	Online - Affiliate Invoca	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10004	CreditRepair.com direct Traffic	Brand - Direct Entry	Direct	CreditRepair	Other	Other	Other	nan	nan
10005	Ask|Comcast|Babylon|AVG|etc	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
10006	Chane Steiner (Affiliate)	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10010	CR_RMKTG_SFMC_CRAS_1	Remarketing - CV Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
10013	Google NS	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
10016	Bing NS	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
10028	CR.com Social Media	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
10033	TheTopTens - Dylan Mills (Affiliate)	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10035	Spiders & Bots	Brand - Direct Entry	Direct	CreditRepair	Other	Other	Other	nan	nan
10036	Credit View Email 3.1 - Retired	Remarketing - CV Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
10075	CR_RMKTG_DIRECTMAIL_1_10075	Remarketing - Direct Mail	Direct Mail	CreditRepair	Other	Other	Other	nan	nan
10076	CR_FFHD_Email_1	Remarketing - FFHD Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
10081	SkyRocket Bing - CATCH ALL	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10082	SkyRocket SEO	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10083	SkyRocket Google - CATCH ALL	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
10089	Mobile App Text	Online - PPC Other Legacy	Paid Search - Non-Brand	CreditRepair	Other	Other	Other	nan	nan
10100	Bing: Brand Mobile - Brand 1	Online - PPC Search Brand Bing	Paid Search - Brand	CreditRepair	Other	Search	Bing	nan	nan
10101	Bing: Brand Mobile - Brand 2	Online - PPC Search Brand Bing	Paid Search - Brand	CreditRepair	Other	Search	Bing	nan	nan
10104	Google: Brand Mobile - Brand 1	Online - PPC Search Brand Google	Paid Search - Brand	CreditRepair	Other	Search	Google	nan	nan
