## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
1	Anonymous	Brand - Unassigned	Brand - Unassigned	LexingtonLaw	Other	Other	Other	nan	nan
50	Google: Brand Desktop - LEX 1	Online - PPC Google BR (New)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
52	newcheckingaccount.com	Lead Gen - Short Form	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
123	NewImpulse2 test [NA]	Lead Gen - Short Form	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
142	Commission Junction (nopop)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
143	Commission Junction	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
164	LexingtonLawFirm.com	Brand - Direct Entry	Direct	LexingtonLaw	Other	Other	Other	nan	nan
344	creditrepairrights.com	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
346	BankruptcyRights.com	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
347	FOG callbacks	Lead Gen - External	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
388	Pre 5000 Affiliate ID	Financial - Mortgage Broker	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
397	Google (NS)	Online - Natural Search NonBrand	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
403	Yahoo (NS)	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
408	Brete Thomas	Financial - Other	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
501	Bing: Brand - LEX 1 - Desktop	Online - PPC Bing BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Bing	nan	nan
517	lex99.com (TCT confirm)	Lead Gen - External	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
645	Direct Mail - Remarket TCT 99c	Lead Gen - Direct Mail	nan	LexingtonLaw	Other	Other	Other	nan	nan
662	FS Partnership Program (Interface)	Financial - Mortgage Broker	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
958	Spiders & Bots	Brand - Direct Entry	Direct	LexingtonLaw	Other	Other	Other	nan	nan
973	lexingtenlaw.com	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
994	TheTopTens (Dylan)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1030	eFolks Lead Gen	Lead Gen - Internal	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
1186	Lending Tree - Online IOS Mobile App	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1371	Polydataone	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1430	Chane Steiner - AAA Organic	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1548	Lending Tree - Home Refinance Zero Match	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1584	DirectMail.utah1	Lead Gen - Direct Mail	nan	LexingtonLaw	Other	Other	Other	nan	nan
1585	NS YouTube: How to Cancel	Online - Social Media	Paid Social	LexingtonLaw	Other	Other	Other	nan	nan
1650	Credit Rescue Squad	Financial - Auto Lender	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
1690	Chane Steiner - CRC Organic	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1790	Google NBrand Search [PS.WS]	Online - PPC Other Legacy	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Other	nan	nan
1791	Online - PPC Display New1	Online - PPC Display Prospecting	Display	LexingtonLaw	Display - Prospecting	Other	Other	nan	nan
1806	Katzir Soze Investments Ltd (Assaf)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1807	TopTenREVIEWS (Don Calamaro)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1816	Commission Junction (CJ) Pay Per Call	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1887	Bills.com (Online) - FDR Decline	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
1955	AOL (NS)	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
1956	Ask (NS)	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
1957	Bing (NS)	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
1966	Capitol Area Properties 	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2003	Lexington Law (NS Brand)	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
2021	AutoMall.com	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2024	Centerfield Media Holdings, LLC	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2081	Google: Brand Mobile - LEX 1	Online - PPC Google BR (New)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
