Manager,AID (v1),119776
Unspecified,33792,7
Unspecified,33794,4
Unspecified,33796,5
Unspecified,33797,6
Unspecified,33905,200
Unspecified,33906,452
Unspecified,33957,2294
Unspecified,33958,4
Unspecified,34002,4
Unspecified,34044,3865
Unspecified,34047,97
Unspecified,34074,4
Unspecified,34081,695
Unspecified,34085,500
Unspecified,34090,23
Unspecified,34096,3
Unspecified,34101,6
Unspecified,34107,11
Unspecified,34108,3
Unspecified,34163,540
Unspecified,34164,983
Unspecified,34198,452
Unspecified,64113,2
